,price,qty
1147,19.4,0.5
1148,19.6,213.38
1149,20.0,954.27
1150,20.091,10.8
1151,20.725,7.88
1152,21.0,0.99
1153,22.0,25.6
1154,22.482,5.57
1155,23.0,4.55
1156,23.11,5.41
